phosphopyruvate hydratase complex	GO:0000015
Kv4.2-KChIP2 channel complex	GO:0071193
Kv4.2-KChIP3 channel complex	GO:0071194
Kv4.2-KChIP4 channel complex	GO:0071195
Kv4.3-KChIP1 channel complex	GO:0071196
Kv4.2-Kv4.3 channel complex	GO:0071197
Kv4.1-DPP6 channel complex	GO:0071198
Kv4.1-DPP10 channel complex	GO:0071199
Kv4.2-DPP6 channel complex	GO:0071200
Kv4.3-DPP6 channel complex	GO:0071201
Kv4.3-DPP10 channel complex	GO:0071202
WASH complex	GO:0071203
histone pre-mRNA 3'end processing complex	GO:0071204
subsynaptic reticulum	GO:0071212
cytoplasmic U snRNP body	GO:0071254
translocon complex	GO:0071256
Ssh1 translocon complex	GO:0071261
MLL1 complex	GO:0071339
medial cortical node	GO:0071341
invadopodium	GO:0071437
invadopodium membrane	GO:0071438
clathrin complex	GO:0071439
integral component of cytoplasmic side of endoplasmic reticulum membrane	GO:0071458
phosphopantothenoylcysteine decarboxylase complex	GO:0071513
Cdc42 GTPase complex	GO:0071521
eukaryotic translation initiation factor 3 complex, eIF3e	GO:0071540
eukaryotic translation initiation factor 3 complex, eIF3m	GO:0071541
pi-body	GO:0071546
piP-body	GO:0071547
integral component of lumenal side of endoplasmic reticulum membrane	GO:0071556
nucleus-vacuole junction	GO:0071561
Myo2p-Vac17p-Vac8p transport complex	GO:0071563
npBAF complex	GO:0071564
nBAF complex	GO:0071565
integral component of external side of plasma membrane	GO:0071575
Nem1-Spo7 phosphatase complex	GO:0071595
cellular birth scar	GO:0071597
neuronal ribonucleoprotein granule	GO:0071598
sphere organelle	GO:0071601
integral component of fungal-type vacuolar membrane	GO:0071627
intrinsic component of fungal-type vacuolar membrane	GO:0071628
catenin-TCF7L2 complex	GO:0071664
gamma-catenin-TCF7L2 complex	GO:0071665
Slit-Robo signaling complex	GO:0071666
endocytic vesicle lumen	GO:0071682
sensory dendrite	GO:0071683
NADH dehydrogenase complex (plastoquinone)	GO:0071685
horsetail nucleus	GO:0071686
horsetail nucleus leading edge	GO:0071687
IgG immunoglobulin complex	GO:0071735
IgG immunoglobulin complex, circulating	GO:0071736
IgG B cell receptor complex	GO:0071737
IgD immunoglobulin complex	GO:0071738
IgD immunoglobulin complex, circulating	GO:0071739
IgD B cell receptor complex	GO:0071740
IgD immunoglobulin complex, GPI-anchored	GO:0071741
IgE immunoglobulin complex	GO:0071742
IgE immunoglobulin complex, circulating	GO:0071743
IgE B cell receptor complex	GO:0071744
IgA immunoglobulin complex	GO:0071745
IgA immunoglobulin complex, circulating	GO:0071746
IgA B cell receptor complex	GO:0071747
monomeric IgA immunoglobulin complex	GO:0071748
polymeric IgA immunoglobulin complex	GO:0071749
dimeric IgA immunoglobulin complex	GO:0071750
secretory IgA immunoglobulin complex	GO:0071751
secretory dimeric IgA immunoglobulin complex	GO:0071752
IgM immunoglobulin complex	GO:0071753
IgM immunoglobulin complex, circulating	GO:0071754
IgM B cell receptor complex	GO:0071755
pentameric IgM immunoglobulin complex	GO:0071756
hexameric IgM immunoglobulin complex	GO:0071757
IgW immunoglobulin complex	GO:0071758
IgX immunoglobulin complex	GO:0071759
IgY immunoglobulin complex	GO:0071760
IgZ immunoglobulin complex	GO:0071761
heavy chain immunoglobulin complex	GO:0071762
endoplasmic reticulum cisternal network	GO:0071781
endoplasmic reticulum tubular network	GO:0071782
LUBAC complex	GO:0071797
satellite fibril	GO:0071808
MMXD complex	GO:0071817
BAT3 complex	GO:0071818
DUBm complex	GO:0071819
FANCM-MHF complex	GO:0071821
prominosome	GO:0071914
cleavage body	GO:0071920
XPC complex	GO:0071942
Myc-Max complex	GO:0071943
cell periphery	GO:0071944
elastic fiber	GO:0071953
old mitotic spindle pole body	GO:0071957
new mitotic spindle pole body	GO:0071958
Ragulator complex	GO:0071986
ascus epiplasm	GO:0072324
PTW/PP1 phosphatase complex	GO:0072357
primary cilium	GO:0072372
ER membrane insertion complex	GO:0072379
TRC complex	GO:0072380
MSL complex	GO:0072487
host cell mitochondrial intermembrane space	GO:0072492
host cell endosome lumen	GO:0072493
host multivesicular body	GO:0072494
host cell Cajal body	GO:0072495
viral assembly compartment	GO:0072516
host cell viral assembly compartment	GO:0072517
perineuronal net	GO:0072534
interleukin-23 receptor complex	GO:0072536
ER membrane protein complex	GO:0072546
other organism presynaptic membrane	GO:0072556
IPAF inflammasome complex	GO:0072557
NLRP1 inflammasome complex	GO:0072558
NLRP3 inflammasome complex	GO:0072559
blood microparticle	GO:0072562
endothelial microparticle	GO:0072563
box H/ACA RNP complex	GO:0072588
box H/ACA scaRNP complex	GO:0072589
tRNA-splicing ligase complex	GO:0072669
mitotic spindle	GO:0072686
meiotic spindle	GO:0072687
host cell PML body	GO:0075341
Cul4-RING E3 ubiquitin ligase complex	GO:0080008
signal recognition particle, chloroplast targeting	GO:0080085
tubovesicular membrane network	GO:0085026
haustorium	GO:0085035
extrahaustorial matrix	GO:0085036
extrahaustorial membrane	GO:0085037
extra-invasive hyphal membrane	GO:0085039
extra-invasive hyphal space	GO:0085040
arbuscule	GO:0085041
periarbuscular membrane	GO:0085042
U2AF	GO:0089701
Cbf1-Met4-Met28 complex	GO:0089713
Pip2-Oaf1 complex	GO:0089716
spanning component of membrane	GO:0089717
lysosomal glycocalyx	GO:0090123
plant cell papilla	GO:0090395
leaf papilla	GO:0090396
stigma papilla	GO:0090397
pollen tube tip	GO:0090404
unicellular trichome branch	GO:0090405
pollen tube	GO:0090406
FAR/SIN/STRIPAK complex	GO:0090443
extrinsic component of Golgi membrane	GO:0090498
eisosome membrane domain/MCC	GO:0090512
cation-transporting ATPase complex	GO:0090533
calcium ion-transporting ATPase complex	GO:0090534
WICH complex	GO:0090535
NoRC complex	GO:0090536
CERF complex	GO:0090537
Flemming body	GO:0090543
BAF-type complex	GO:0090544
CHD-type complex	GO:0090545
unicellular trichome apex	GO:0090552
unicellular trichome tip	GO:0090553
nuclear transcriptional repressor complex	GO:0090568
cytoplasmic transcriptional repressor complex	GO:0090569
RNA polymerase I transcription repressor complex	GO:0090570
RNA polymerase II transcription repressor complex	GO:0090571
RNA polymerase III transcription repressor complex	GO:0090572
RNA polymerase IV transcription repressor complex	GO:0090573
RNA polymerase V transcription repressor complex	GO:0090574
RNA polymerase II transcription factor complex	GO:0090575
RNA polymerase III transcription factor complex	GO:0090576
RNA polymerase IV transcription factor complex	GO:0090577
RNA polymerase V transcription factor complex	GO:0090578
meiotic spindle pole	GO:0090619
APC-Cdc20 complex	GO:0090620
APC-fizzy-related complex	GO:0090621
mitochondrial inner boundary membrane	GO:0097002
phagocytic vesicle lumen	GO:0097013
ciliary cytoplasm	GO:0097014
bacterial-type flagellar cytoplasm	GO:0097015
MPP7-DLG1-LIN7 complex	GO:0097025
perinuclear endoplasmic reticulum	GO:0097038
extrinsic component of fungal-type vacuolar membrane	GO:0097042
DNA replication termination region	GO:0097047
TRAF2-GSTP1 complex	GO:0097057
CRLF-CLCF1 complex	GO:0097058
CNTFR-CLCF1 complex	GO:0097059
synaptic membrane	GO:0097060
interferon regulatory factor complex	GO:0097071
interferon regulatory factor 3 complex	GO:0097072
interferon regulatory factor 5 complex	GO:0097073
interferon regulatory factor 7 complex	GO:0097074
interferon regulatory factor 3-interferon regulatory factor 7 complex	GO:0097075
transforming growth factor beta activated kinase 1 complex	GO:0097076
FAl1-SGD1 complex	GO:0097078
interferon regulatory factor 3-interferon regulatory factor 5 complex	GO:0097085
cyclin A1-CDK1 complex	GO:0097121
cyclin A2-CDK1 complex	GO:0097122
cyclin A1-CDK2 complex	GO:0097123
cyclin A2-CDK2 complex	GO:0097124
cyclin B1-CDK1 complex	GO:0097125
cyclin B2-CDK1 complex	GO:0097126
cyclin B3-CDK2 complex	GO:0097127
cyclin D1-CDK4 complex	GO:0097128
cyclin D2-CDK4 complex	GO:0097129
cyclin D3-CDK4 complex	GO:0097130
cyclin D1-CDK6 complex	GO:0097131
cyclin D2-CDK6 complex	GO:0097132
cyclin D3-CDK6 complex	GO:0097133
cyclin E1-CDK2 complex	GO:0097134
cyclin E2-CDK2 complex	GO:0097135
Bcl-2 family protein complex	GO:0097136
BAD-BCL-xl complex	GO:0097137
BAD-BCL-2 complex	GO:0097138
BID-BCL-2 complex	GO:0097139
BIM-BCL-xl complex	GO:0097140
BIM-BCL-2 complex	GO:0097141
PUMA-BCL-2 complex	GO:0097142
PUMA-BCL-xl complex	GO:0097143
BAX complex	GO:0097144
BAK complex	GO:0097145
NOXA-BCL-xl complex	GO:0097146
NOXA-BCL-2 complex	GO:0097147
BCL-2 complex	GO:0097148
centralspindlin complex	GO:0097149
nuclear stress granule	GO:0097165
AIM2 inflammasome complex	GO:0097169
protease inhibitor complex	GO:0097179
serine protease inhibitor complex	GO:0097180
protein C inhibitor-coagulation factor V complex	GO:0097181
protein C inhibitor-coagulation factor Xa complex	GO:0097182
protein C inhibitor-coagulation factor XI complex	GO:0097183
apoptotic body	GO:0097189
Shu complex	GO:0097196
tetraspanin-enriched microdomain	GO:0097197
phagocytic cup lip	GO:0097203
phagocytic cup base	GO:0097204
alveolar lamellar body	GO:0097208
epidermal lamellar body	GO:0097209
sieve area	GO:0097217
sieve plate	GO:0097218
compound sieve plate	GO:0097219
simple sieve plate	GO:0097220
MADS box-forkhead transcription factor complex	GO:0097221
sperm part	GO:0097223
sperm connecting piece	GO:0097224
sperm midpiece	GO:0097225
sperm mitochondrial sheath	GO:0097226
sperm annulus	GO:0097227
sperm principal piece	GO:0097228
sperm end piece	GO:0097229
lamellar body membrane	GO:0097232
alveolar lamellar body membrane	GO:0097233
epidermal lamellar body membrane	GO:0097234
mitochondrial respiratory chain supercomplex	GO:0097249
R2TP complex	GO:0097255
cytoophidium	GO:0097268
biofilm matrix	GO:0097311
biofilm matrix component	GO:0097312
biofilm matrix surface	GO:0097313
ripoptosome	GO:0097342
Rix1 complex	GO:0097344
INO80-type complex	GO:0097346
TAM protein secretion complex	GO:0097347
host cell endocytic vesicle membrane	GO:0097348
perinucleolar compartment	GO:0097356
CIA complex	GO:0097361
MCM8-MCM9 complex	GO:0097362
MCM core complex	GO:0097373
photoreceptor disc membrane	GO:0097381
glial cell projection	GO:0097386
capitate projection	GO:0097387
Bunina body	GO:0097407
fibrillary inclusion	GO:0097408
glial cytoplasmic inclusion	GO:0097409
hyaline inclusion	GO:0097412
Lewy body	GO:0097413
classical Lewy body	GO:0097414
cortical Lewy body	GO:0097415
Lewy body-like hyaline inclusion	GO:0097416
nematosome	GO:0097417
neurofibrillary tangle	GO:0097418
Pick body	GO:0097419
skein-like inclusion	GO:0097420
tubular endosome	GO:0097422
mitochondrion-associated adherens complex	GO:0097423
nucleolus-associated heterochromatin	GO:0097424
smooth endoplasmic reticulum part	GO:0097425
glial filament	GO:0097426
microtubule bundle	GO:0097427
mitotic spindle pole	GO:0097431
dense body	GO:0097433
apical dendrite	GO:0097440
basilar dendrite	GO:0097441
CA3 pyramidal cell dendrite	GO:0097442
sorting endosome	GO:0097443
spine apparatus	GO:0097444
presynaptic active zone dense projection	GO:0097445
dendritic tree	GO:0097447
spine mat	GO:0097448
astrocyte projection	GO:0097449
astrocyte end-foot	GO:0097450
glial limiting end-foot	GO:0097451
GAIT complex	GO:0097452
mesaxon	GO:0097453
Schwann cell microvillus	GO:0097454
spiny bracelet of Nageotte	GO:0097455
terminal loop	GO:0097456
hippocampal mossy fiber	GO:0097457
neuron part	GO:0097458
Lewy neurite	GO:0097462
gemmule	GO:0097463
thorny excrescence	GO:0097464
somatic spine	GO:0097465
type III terminal bouton	GO:0097467
ribbon synapse	GO:0097470
mossy fiber rosette	GO:0097471
leaflet of membrane bilayer	GO:0097478
neuronal postsynaptic density	GO:0097481
muscle cell postsynaptic density	GO:0097482
glial cell postsynaptic density	GO:0097483
multivesicular body lumen	GO:0097486
multivesicular body, internal vesicle	GO:0097487
multivesicular body, internal vesicle membrane	GO:0097488
multivesicular body, internal vesicle lumen	GO:0097489
H-NS-Hha complex	GO:0097495
Gemini of coiled bodies	GO:0097504
Rad6-Rad18 complex	GO:0097505
dendritic cell dendrite	GO:0097511
cardiac myofibril	GO:0097512
myosin II filament	GO:0097513
sexual spore wall	GO:0097514
asexual spore wall	GO:0097515
microvillar actin bundle	GO:0097516
contractile actin filament bundle	GO:0097517
parallel actin filament bundle	GO:0097518
DNA recombinase complex	GO:0097519
nucleotide-excision repair, preincision complex	GO:0097520
protein-DNA ISRE complex	GO:0097522
transcription ternary complex	GO:0097523
sperm plasma membrane	GO:0097524
spliceosomal snRNP complex	GO:0097525
spliceosomal tri-snRNP complex	GO:0097526
Y-shaped link	GO:0097537
ciliary necklace	GO:0097538
ciliary transition fiber	GO:0097539
axonemal central pair	GO:0097540
axonemal basal plate	GO:0097541
ciliary tip	GO:0097542
ciliary inversin compartment	GO:0097543
ciliary shaft	GO:0097544
axonemal outer doublet	GO:0097545
ciliary base	GO:0097546
synaptic vesicle protein transport vesicle	GO:0097547
transcriptional preinitiation complex	GO:0097550
left anterior flagellum	GO:0097554
right anterior flagellum	GO:0097555
left posteriolateral flagellum	GO:0097556
right posteriolateral flagellum	GO:0097557
left ventral flagellum	GO:0097558
right ventral flagellum	GO:0097559
left caudal flagellum	GO:0097560
right caudal flagellum	GO:0097561
left lateral basal body pair	GO:0097562
left middle basal body pair	GO:0097563
right lateral basal body pair	GO:0097564
right middle basal body pair	GO:0097565
left tetrad	GO:0097566
right tetrad	GO:0097567
median body	GO:0097568
lateral shield	GO:0097569
cyst wall	GO:0097570
left nucleus	GO:0097571
right nucleus	GO:0097572
lateral part of cell	GO:0097574
lateral cell cortex	GO:0097575
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex	GO:0097582
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex	GO:0097583
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex	GO:0097584
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex	GO:0097585
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex	GO:0097586
MutLgamma complex	GO:0097587
archaeal-type flagellum	GO:0097589
ventral disc lateral crest	GO:0097591
ventral disc overlap zone	GO:0097592
ventral disc microtubule array	GO:0097593
ventral disc dorsal microribbon	GO:0097594
ventral disc crossbridge	GO:0097595
ventral disc supernumerary microtubule array	GO:0097596
ventral disc	GO:0097597
sperm cytoplasmic droplet	GO:0097598
transverse flagellum	GO:0097608
longitudinal flagellum	GO:0097609
cell surface furrow	GO:0097610
dinoflagellate cingulum	GO:0097611
dinoflagellate sulcus	GO:0097612
dinoflagellate epicone	GO:0097613
dinoflagellate hypocone	GO:0097614
dinoflagellate sulcal notch	GO:0097618
PTEX complex	GO:0097619
extrinsic component of omegasome membrane	GO:0097629
intrinsic component of omegasome membrane	GO:0097630
integral component of omegasome membrane	GO:0097631
extrinsic component of pre-autophagosomal structure membrane	GO:0097632
intrinsic component of pre-autophagosomal structure membrane	GO:0097633
integral component of pre-autophagosomal structure membrane	GO:0097634
extrinsic component of autophagic vacuole membrane	GO:0097635
intrinsic component of autophagic vacuole membrane	GO:0097636
integral component of autophagic vacuole membrane	GO:0097637
G-protein coupled receptor complex	GO:0097648
A tubule	GO:0097649
B tubule	GO:0097650
phosphatidylinositol 3-kinase complex, class I	GO:0097651
phosphatidylinositol 3-kinase complex, class II	GO:0097652
unencapsulated part of cell	GO:0097653
platelet SNARE complex	GO:0097654
Asi complex	GO:0097658
SCF-Cdc4 ubiquitin ligase complex	GO:0097660
SCF-Ctf13 ubiquitin ligase complex	GO:0097661
SCF-Das1 ubiquitin ligase complex	GO:0097662
SCF-Dia2/Pof3 ubiquitin ligase complex	GO:0097663
SCF-Grr1/Pof2 ubiquitin ligase complex	GO:0097664
SCF-Mdm30 ubiquitin ligase complex	GO:0097665
SCF-Met30/Pof1 ubiquitin ligase complex	GO:0097666
SCF-Rcy1/Pof6 ubiquitin ligase complex	GO:0097667
SCF-Saf1/Pof9 ubiquitin ligase complex	GO:0097668
SCF-Skp2 ubiquitin ligase complex	GO:0097669
SCF-Ufo1/Pof10 ubiquitin ligase complex	GO:0097670
SCF-YDR131C ubiquitin ligase complex	GO:0097671
SCF-Pof5 ubiquitin ligase complex	GO:0097672
SCF-YLR224W ubiquitin ligase complex	GO:0097673
SCF-YLR352W ubiquitin ligase complex	GO:0097674
SCF-Hrt3/Pof7 ubiquitin ligase complex	GO:0097675
other organism cytoplasm	GO:0097679
dinoflagellate apex	GO:0097683
dinoflagellate antapex	GO:0097684
dinoflagellate apical groove	GO:0097685
dinoflagellate apical horn	GO:0097686
dinoflagellate antapical horn	GO:0097687
virus terminase, large subunit	GO:0098009
virus tail	GO:0098015
viral capsid, major subunit	GO:0098017
viral capsid, minor subunit	GO:0098018
virus tail, major subunit	GO:0098019
virus tail, minor subunit	GO:0098020
viral capsid, decoration	GO:0098021
viral capsid, fiber	GO:0098022
virus tail, tip	GO:0098023
virus tail, fiber	GO:0098024
virus tail, baseplate	GO:0098025
virus tail, tube	GO:0098026
virus tail, sheath	GO:0098027
virus tail, shaft	GO:0098028
icosahedral viral capsid, spike	GO:0098029
icosahedral viral capsid, neck	GO:0098030
icosahedral viral capsid, collar	GO:0098031
icosahedral viral capsid, collar fiber	GO:0098032
icosahedral viral capsid, neck fiber	GO:0098033
type V protein secretion system complex	GO:0098046
viral capsid, internal space	GO:0098061
excitatory neuromuscular junction	GO:0098520
inhibitory neuromuscular junction	GO:0098521
neuromuscular junction of skeletal muscle fiber	GO:0098522
neuromuscular junction of myotube	GO:0098523
neuromuscular junction of somatic muscle myotube	GO:0098524
excitatory neuromuscular junction of somatic myotube	GO:0098525
inhibitory neuromuscular junction of somatic myotube	GO:0098526
neuromuscular junction of somatic muscle	GO:0098527
ATPase dependent transmembrane transport complex	GO:0098533
deuterosome	GO:0098536
lobed nucleus	GO:0098537
lumenal side of transport vesicle membrane	GO:0098538
cytoplasmic side of transport vesicle membrane	GO:0098539
lumenal side of trans-Golgi network transport vesicle membrane	GO:0098540
cytoplasmic side of trans-Golgi network transport vesicle membrane	GO:0098541
lumenal side of Golgi membrane	GO:0098547
cytoplasmic side of Golgi membrane	GO:0098548
somatic ring canal	GO:0098549
lumenal side of early endosome membrane	GO:0098550
lumenal side of late endosome membrane	GO:0098551
side of membrane	GO:0098552
lumenal side of endoplasmic reticulum membrane	GO:0098553
cytoplasmic side of endoplasmic reticulum membrane	GO:0098554
lumenal side of rough endoplasmic reticulum membrane	GO:0098555
cytoplasmic side of rough endoplasmic reticulum membrane	GO:0098556
cytoplasmic side of smooth endoplasmic reticulum membrane	GO:0098557
lumenal side of smooth endoplasmic reticulum membrane	GO:0098558
cytoplasmic side of early endosome membrane	GO:0098559
cytoplasmic side of late endosome membrane	GO:0098560
methyl accepting chemotaxis protein complex	GO:0098561
cytoplasmic side of membrane	GO:0098562
intrinsic component of synaptic vesicle membrane	GO:0098563
trans-Golgi network transport vesicle lumen	GO:0098564
lumenal side of endosome membrane	GO:0098565
transport vesicle lumen	GO:0098566
periplasmic side of plasma membrane	GO:0098567
external side of mycolate outer membrane	GO:0098568
internal side of mycolate outer membrane	GO:0098569
stromal side of plastid inner membrane	GO:0098570
lumenal side of plastid thylakoid membrane	GO:0098571
stromal side of plastid thylakoid membrane	GO:0098572
intrinsic component of mitochondrial membrane	GO:0098573
cytoplasmic side of lysosomal membrane	GO:0098574
lumenal side of lysosomal membrane	GO:0098575
lumenal side of membrane	GO:0098576
inactive sex chromosome	GO:0098577
condensed chromatin of inactivated sex chromosome	GO:0098578
active sex chromosome	GO:0098579
chromatin of active sex chromosome	GO:0098580
host cell synaptic vesicle	GO:0098584
host cell synaptic vesicle membrane	GO:0098585
bounding membrane of organelle	GO:0098588
membrane region	GO:0098589
plasma membrane region	GO:0098590
external side of apical plasma membrane	GO:0098591
cytoplasmic side of apical plasma membrane	GO:0098592
goblet cell theca	GO:0098593
mucin granule	GO:0098594
perivitelline space	GO:0098595
protein complex involved in cell-cell adhesion	GO:0098635
protein complex involved in cell adhesion	GO:0098636
protein complex involved in cell-matrix adhesion	GO:0098637
network-forming collagen trimer	GO:0098642
banded collagen fibril	GO:0098643
complex of collagen trimers	GO:0098644
collagen network	GO:0098645
collagen sheet	GO:0098646
collagen beaded filament	GO:0098647
collagen anchoring fibril	GO:0098648
basement membrane collagen trimer	GO:0098651
collagen type VII anchoring fibril	GO:0098652
CENP-A recruiting complex	GO:0098654
chromosomal region	GO:0098687
skeletal muscle myofibril	GO:0098723
hemidesmosome associated protein complex	GO:0098733
Dcp1-Dcp2 complex	GO:0098745
integral component of the cytoplasmic side of the plasma membrane	GO:0098752
anchored component of the cytoplasmic side of the plasma membrane	GO:0098753
curli	GO:0098774
dendritic knob	GO:0098788
Golgi subcompartment	GO:0098791
dendritic microtubule	GO:1901588
axon microtubule bundle	GO:1901589
nuclear rDNA heterochromatin	GO:1902377
acetyltransferase complex	GO:1902493
catalytic complex	GO:1902494
transmembrane transporter complex	GO:1902495
vacuolar HOPS complex	GO:1902500
lysosomal HOPS complex	GO:1902501
multivesicular body HOPS complex	GO:1902502
adenylyltransferase complex	GO:1902503
thiazole synthase complex	GO:1902507
2-iminoacetate synthase complex	GO:1902508
methionine-importing complex	GO:1902509
thioredoxin-disulfide reductase complex	GO:1902515
glycerol-3-phosphate-transporting ATPase complex	GO:1902517
serine/threonine protein kinase complex	GO:1902554
endoribonuclease complex	GO:1902555
phosphatidylinositol transporter complex	GO:1902556
GMP reductase complex	GO:1902560
H4 histone acetyltransferase complex	GO:1902562
kinociliary basal body	GO:1902636
left anterior basal body	GO:1902671
right anterior basal body	GO:1902672
left posteriolateral basal body	GO:1902673
right posteriolateral basal body	GO:1902674
left ventral basal body	GO:1902675
right ventral basal body	GO:1902676
left caudal basal body	GO:1902677
right caudal basal body	GO:1902678
glucosidase complex	GO:1902687
superoxide dismutase complex	GO:1902693
superoxide dismutase copper chaperone complex	GO:1902694
metallochaperone complex	GO:1902695
GABA receptor complex	GO:1902710
GABA-A receptor complex	GO:1902711
G-protein coupled GABA receptor complex	GO:1902712
cell cortex of growing cell tip	GO:1902716
dendritic filopodium	GO:1902737
GTPase activator complex	GO:1902773
pyrroline-5-carboxylate reductase complex	GO:1902792
glutamate decarboxylase complex	GO:1902793
protein kinase complex	GO:1902911
pyruvate kinase complex	GO:1902912
plasma membrane of growing cell tip	GO:1902929
inward rectifier potassium channel complex	GO:1902937
ribonuclease III complex	GO:1903095
potassium:proton antiporter complex	GO:1903103
copper ion transmembrane transporter complex	GO:1903113
silver ion transmembrane transporter complex	GO:1903114
adrenomedullin receptor complex	GO:1903143
actomyosin contractile ring actin filament	GO:1903144
actin filament of cell cortex of cell tip	GO:1903145
ornithine carbamoyltransferase inhibitor complex	GO:1903269
phosphatase complex	GO:1903293
omegasome membrane	GO:1903349
calcitonin family receptor complex	GO:1903439
amylin receptor complex	GO:1903440
translation repressor complex	GO:1903502
ATPase inhibitor complex	GO:1903503
extracellular vesicle	GO:1903561
glutaminase complex	GO:1903600
cortical microtubule plus-end	GO:1903754
sweet taste receptor complex	GO:1903767
taste receptor complex	GO:1903768
sigma factor antagonist complex	GO:1903865
nitric-oxide synthase complex	GO:1903958
peptidase inhibitor complex	GO:1904090
protein tyrosine phosphatase complex	GO:1904096
acid phosphatase complex	GO:1904097
granular vesicle	GO:1990005
amorphous vesicle	GO:1990006
membrane stack	GO:1990007
neurosecretory vesicle	GO:1990008
laminated body	GO:1990011
complex laminated body	GO:1990012
presynaptic grid	GO:1990013
orthogonal array	GO:1990014
ensheathing process	GO:1990015
neck portion of tanycyte	GO:1990016
somatic portion of tanycyte	GO:1990017
tail portion of tanycyte	GO:1990018
recurrent axon collateral	GO:1990020
Schaffer axon collateral	GO:1990021
mitotic spindle midzone	GO:1990023
C bouton	GO:1990024
F bouton	GO:1990025
hippocampal mossy fiber expansion	GO:1990026
S bouton	GO:1990027
pericellular basket	GO:1990030
pinceau fiber	GO:1990031
parallel fiber	GO:1990032
dendritic branch point	GO:1990033
Lewy body core	GO:1990037
Lewy body corona	GO:1990038
hypolemmal cisterna	GO:1990039
sub-surface cisterna	GO:1990040
spindle matrix	GO:1990047
maltose transport complex	GO:1990060
bacterial degradosome	GO:1990061
RPAP3/R2TP/prefoldin-like complex	GO:1990062
Bam protein complex	GO:1990063
Dxr protein complex	GO:1990065
TRAPPI protein complex	GO:1990070
TRAPPII protein complex	GO:1990071
TRAPPIII protein complex	GO:1990072
perforation plate	GO:1990073
periciliary membrane compartment	GO:1990075
primosome complex	GO:1990077
replication inhibiting complex	GO:1990078
DnaA-L2 complex	GO:1990082
DnaA-Hda complex	GO:1990083
DnaA-Dps complex	GO:1990084
Hda-beta clamp complex	GO:1990085
SeqA-DNA complex	GO:1990097
core primosome complex	GO:1990098
pre-primosome complex	GO:1990099
DnaB-DnaC complex	GO:1990100
DnaA-oriC complex	GO:1990101
DnaA-DiaA complex	GO:1990102
DnaA-HU complex	GO:1990103
DNA bending complex	GO:1990104
spermatoproteasome complex	GO:1990111
RQC complex	GO:1990112
H-NS complex	GO:1990121
messenger ribonucleoprotein complex	GO:1990124
DiaA complex	GO:1990125
Iml1 complex	GO:1990130
Gtr1-Gtr2 GTPase complex	GO:1990131
molybdopterin cofactor (Moco) biosynthesis adenylyltransferase complex	GO:1990133
MPT synthase complex	GO:1990140
CoA-synthesizing protein complex	GO:1990143
glutamate dehydrogenase complex	GO:1990148
VEGF-A complex	GO:1990150
enzyme IIA-maltose transporter complex	GO:1990154
DnaB-DnaG complex	GO:1990156
DnaA-DnaB-DnaC complex	GO:1990157
DnaB-DnaC-DnaT-PriA-PriB complex	GO:1990158
DnaB-DnaC-DnaT-PriA-PriC complex	GO:1990159
DnaB-DnaC-Rep-PriC complex	GO:1990160
DnaB helicase complex	GO:1990161
MalFGK2 complex	GO:1990176
IHF-DNA complex	GO:1990177
HU-DNA complex	GO:1990178
amino acid transport complex	GO:1990184
cobalamin transport complex	GO:1990191
BtuCD complex	GO:1990193
macrolide transmembrane transporter complex	GO:1990195
MacAB-TolC complex	GO:1990196
ATP-dependent methionine-importing complex	GO:1990197
ModE complex	GO:1990198
MsbA transporter complex	GO:1990199
SsuD-SsuE complex	GO:1990200
alkanesulfonate monooxygenase complex	GO:1990201
FMN reductase complex	GO:1990202
MdtBC Complex	GO:1990203
oxidoreductase complex	GO:1990204
taurine dioxygenase complex	GO:1990205
EmrE multidrug transporter complex	GO:1990207
GroEL-GroES complex	GO:1990220
L-cysteine desulfurase complex	GO:1990221
ProVWX complex	GO:1990222
rhoptry neck	GO:1990225
sulfurtransferase complex	GO:1990228
iron-sulfur cluster assembly complex	GO:1990229
iron-sulfur cluster transfer complex	GO:1990230
STING complex	GO:1990231
phosphomannomutase complex	GO:1990232
intramolecular phosphotransferase complex	GO:1990233
transferase complex	GO:1990234
diamine N-acetyltransferase complex	GO:1990235
atf1-pcr1 complex	GO:1990243
uniplex complex	GO:1990246
nucleotide-excision repair, DNA damage recognition complex	GO:1990249
transcription-coupled nucleotide-excision repair, DNA damage recognition complex	GO:1990250
Mmi1 nuclear focus complex	GO:1990251
Syp1 complex	GO:1990252
piccolo-bassoon transport vesicle	GO:1990257
platelet-derived growth factor complex	GO:1990265
platelet-derived growth factor receptor-ligand complex	GO:1990270
efflux pump complex	GO:1990281
post-anaphase microtubule array	GO:1990295
scaffoldin complex	GO:1990296
bub1-bub3 complex	GO:1990298
Bre1-Rad6 ubiquitin ligase complex	GO:1990302
UBR1-RAD6 ubiquitin ligase complex	GO:1990303
MUB1-RAD6-UBR2 ubiquitin ligase complex	GO:1990304
